Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
444025  classical  m   0 S    43.964 0.046   3.316 
444030  classical  m   0 S    43.437 0.150  31.228 
444745  resonant   3   2 S    39.348 0.183  15.081 
445473  scattering 0   0 I   153.436 0.776   4.511 
447178  centaur    0   0 S    28.848 0.519  35.458 
449097  centaur    0   0 S    20.255 0.377  15.413 
450265  resonant   3   2 S    39.184 0.255   4.146 
451657  detached   0   0 S    76.545 0.510  23.684 
455171  classical  m   0 I    45.976 0.120   2.087 
455206  classical  m   0 S    46.670 0.124   2.814 
455209  classical  m   0 S    45.094 0.087   1.708 
455502  resonant   3   2 S    39.232 0.223  12.045 
456826  resonant   3   2 S    39.327 0.276  28.539 
459865  centaur    0   0 S    13.436 0.373  22.521 
459870  jc         0   0 S    10.896 0.402 165.563 
459971  centaur    0   0 S    13.279 0.564   3.941 
463368  centaur    0   0 S    29.233 0.310  15.067 
463663  centaur    0   0 S    18.364 0.620  14.051 
468422  classical  m   0 S    43.932 0.029   0.757 
468861  scattering 0   0 S   173.783 0.950 125.367 
469306  resonant   7   4 SH   43.659 0.144  25.475 
469333  detached   0   0 I    54.317 0.342  18.413 
469361  classical  m   0 S    43.158 0.120  17.136 
469362  resonant   3   2 S    39.556 0.283  17.519 
469372  resonant   3   2 S    39.378 0.111  22.352 
469420  resonant   5   3 S    42.200 0.217   2.608 
469421  resonant   3   2 S    39.390 0.110  18.100 
469438  classical  m   0 S    44.011 0.091   2.182 
469442  scattering 0   0 S    34.422 0.590   7.711 
469505  resonant   2   1 S    47.931 0.252   3.385 
469506  resonant   3   2 S    39.504 0.215   1.911 
469509  classical  m   0 S    44.027 0.067   1.042 
469514  classical  m   0 S    44.384 0.069   2.415 
469584  resonant   5   3 S    42.164 0.153   2.386 
469610  classical  m   0 S    43.273 0.028   1.485 
469615  classical  m   0 S    40.545 0.058  26.122 
469704  resonant   3   2 S    39.433 0.150   1.774 
469705  classical  m   0 S    44.008 0.090   2.867 
469707  resonant   3   2 S    39.429 0.236  14.687 
469708  resonant   3   2 S    39.329 0.325  18.251 
469750  scattering 0   0 S   174.543 0.832   6.175 
469987  resonant   3   2 S    39.438 0.302  12.450 
470027  classical  m   0 S    41.906 0.141  17.172 
470083  resonant   2   1 S    47.779 0.369  13.591 
470308  resonant   3   2 S    39.427 0.029  18.156 
470309  detached   0   0 S    46.150 0.490  44.893 
470316  detached   0   0 S    49.651 0.286  21.670 
470443  classical  m   0 S    45.954 0.067  22.873 
470523  resonant   5   3 S    42.301 0.160  15.921 
470593  scattering 0   0 S    89.152 0.665  14.107 
470596  classical  m   0 S    45.117 0.190  23.150 
470599  resonant   23  7 S    66.529 0.420  13.145 
